Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
72,Troy Brown\browntr01,SG,20,WAS,52,1333,14.2,.539,.274,.226,4.6,19.3,11.7,12.5,2.5,0.3,10.1,17.0,,1.3,0.8,2.1,.075,,-0.6,-0.3,-0.9,0.4
73,Jalen Brunson\brunsja01,PG,23,DAL,57,1022,15.2,.553,.309,.193,2.3,11.2,6.9,27.0,1.0,0.3,13.6,20.4,,1.7,0.6,2.3,.107,,0.0,-2.2,-2.2,0.0
74,Thomas Bryant\bryanth01,C,22,WAS,31,769,19.6,.642,.165,.289,8.9,23.4,15.9,12.3,0.7,3.1,12.0,18.4,,1.9,0.4,2.3,.143,,1.2,-0.2,1.1,0.6
75,Reggie Bullock\bullore01,SG,28,NYK,22,563,10.3,.506,.500,.093,2.4,8.4,5.3,8.5,2.1,0.0,6.2,17.0,,0.2,0.3,0.6,.048,,-0.7,-1.6,-2.3,0.0
76,Trey Burke\burketr01,PG,27,PHI,25,329,15.4,.545,.299,.142,5.0,6.6,5.8,24.4,1.0,0.3,8.2,19.3,,0.6,0.3,0.9,.134,,0.5,-2.7,-2.1,0.0
77,Alec Burks\burksal01,SG,28,TOT,51,1455,16.0,.549,.374,.367,2.8,14.9,8.6,17.2,1.7,1.0,9.5,23.6,,1.7,0.9,2.6,.086,,0.3,-1.5,-1.2,0.3
77,Alec Burks\burksal01,SG,28,GSW,48,1390,16.2,.552,.373,.373,2.8,15.2,8.7,17.5,1.7,1.1,9.8,23.8,,1.7,0.8,2.5,.087,,0.5,-1.4,-1.0,0.4
77,Alec Burks\burksal01,SG,28,PHI,3,65,10.6,.467,.393,.250,3.4,10.1,6.7,9.0,1.5,0.0,3.1,21.3,,0.0,0.1,0.1,.063,,-2.7,-2.8,-5.5,-0.1
78,Deonte Burton\burtode02,SG,26,OKC,31,258,6.1,.419,.421,.126,2.2,14.5,8.6,6.1,0.8,3.3,9.1,18.8,,-0.5,0.3,-0.2,-0.035,,-6.1,-0.7,-6.8,-0.3
79,Jimmy Butler\butleji01,SF,30,MIA,47,1616,23.8,.583,.178,.669,6.3,15.7,11.2,28.2,2.5,1.6,11.4,25.5,,5.3,2.2,7.5,.224,,3.4,1.7,5.1,2.9
80,Bruno Caboclo\cabocbr01,SF,24,TOT,23,197,11.6,.435,.371,.043,9.3,14.8,12.1,6.8,2.8,5.7,11.2,17.0,,-0.2,0.3,0.1,.036,,-3.7,2.7,-1.0,0.1
80,Bruno Caboclo\cabocbr01,SF,24,MEM,22,192,11.9,.441,.362,.043,9.5,14.6,12.1,7.0,2.4,5.4,9.1,16.8,,-0.1,0.3,0.2,.047,,-3.2,2.2,-1.0,0.0
80,Bruno Caboclo\cabocbr01,SF,24,HOU,1,5,-0.8,.000,1.000,.000,0.0,21.1,10.5,0.0,18.5,17.1,66.7,24.7,,-0.1,0.0,0.0,-0.399,,-22.2,22.8,0.5,0.0
81,Kentavious Caldwell-Pope\caldwke01,SG,26,LAL,55,1396,11.7,.596,.480,.220,2.8,6.3,4.6,9.0,1.5,0.7,10.2,14.8,,1.9,1.4,3.3,.114,,0.5,-0.6,0.0,0.7
82,Vlatko Čančar\cancavl01,SF,22,DEN,11,38,13.0,.588,.455,.364,8.7,14.6,11.6,10.8,1.3,2.4,19.0,18.0,,0.0,0.0,0.1,.106,,-1.4,-0.5,-1.9,0.0
83,Clint Capela\capelca01,C,25,HOU,39,1279,20.7,.626,.000,.268,13.7,30.4,22.0,5.6,1.2,4.8,12.7,16.0,,2.9,2.1,5.0,.187,,-1.0,2.4,1.4,1.1
84,DeMarre Carroll\carrode01,SF,33,TOT,16,148,5.6,.452,.448,.759,6.5,18.1,12.3,12.4,0.6,1.2,25.2,15.1,,-0.2,0.1,-0.1,-0.030,,-5.0,-1.4,-6.4,-0.2
84,DeMarre Carroll\carrode01,SF,33,SAS,15,135,5.0,.437,.448,.690,5.5,19.1,12.3,10.2,0.7,1.3,20.9,15.3,,-0.2,0.1,-0.1,-0.037,,-5.1,-1.2,-6.3,-0.1
84,DeMarre Carroll\carrode01,SF,33,HOU,1,13,11.2,1.136,,,16.0,8.1,12.1,36.0,0.0,0.0,77.3,12.3,,0.0,0.0,0.0,.039,,-3.7,-3.7,-7.4,0.0
85,Jevon Carter\carteje01,PG,24,PHO,42,600,10.7,.546,.551,.115,4.0,10.9,7.4,12.4,2.4,1.6,14.6,13.6,,0.3,0.6,0.9,.073,,-1.3,0.7,-0.6,0.2
86,Vince Carter\cartevi01,SF,43,ATL,51,763,7.6,.470,.664,.111,2.0,13.6,7.8,8.1,1.2,2.6,9.8,16.6,,-0.5,0.4,-0.2,-0.010,,-3.5,-1.3,-4.8,-0.5
87,Wendell Carter\cartewe01,C,20,CHI,37,1109,16.1,.592,.091,.417,12.3,24.4,18.1,6.0,1.3,2.8,14.5,16.4,,1.7,1.5,3.1,.136,,-1.7,1.3,-0.4,0.5
88,Michael Carter-Williams\cartemi01,SG,28,ORL,33,592,15.1,.502,.271,.354,6.0,14.4,10.0,21.9,2.9,2.4,14.3,17.9,,0.4,0.9,1.3,.105,,-1.5,2.3,0.8,0.4
89,Alex Caruso\carusal01,PG,25,LAL,52,940,10.9,.544,.421,.285,1.6,9.6,5.7,11.9,2.7,1.3,13.4,13.7,,0.6,1.4,2.0,.101,,-1.4,1.2,-0.2,0.4
90,Willie Cauley-Stein\caulewi01,C,26,TOT,50,1051,16.9,.585,.003,.216,7.9,22.7,15.1,9.9,2.2,4.9,10.9,14.5,,1.4,1.4,2.7,.126,,-2.0,3.2,1.1,0.8
90,Willie Cauley-Stein\caulewi01,C,26,GSW,41,940,16.2,.573,.000,.222,7.8,21.8,14.6,9.9,2.3,4.8,11.0,14.4,,1.1,1.1,2.2,.113,,-2.3,3.1,0.8,0.7
90,Willie Cauley-Stein\caulewi01,C,26,DAL,9,111,23.0,.682,.029,.176,8.6,29.6,19.3,9.7,1.8,6.1,9.8,15.7,,0.3,0.2,0.5,.234,,0.2,3.6,3.8,0.2
91,Tyson Chandler\chandty01,C,37,HOU,26,219,10.8,.717,.000,.722,11.9,19.7,15.8,3.5,1.3,3.1,25.2,6.0,,0.3,0.3,0.6,.130,,-2.5,1.4,-1.0,0.1
92,Wilson Chandler\chandwi01,SF,32,BRK,27,572,8.6,.545,.628,.145,1.7,19.4,10.8,7.6,1.3,1.4,14.9,13.3,,0.0,0.8,0.8,.067,,-3.1,1.1,-2.0,0.0
93,Joe Chealey\chealjo01,PG,24,CHO,1,3,-13.7,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6,,0.0,0.0,0.0,-0.369,,-13.4,-5.7,-19.1,0.0
94,Zylan Cheatham\cheatzy01,SF,24,NOP,3,31,0.1,.400,.200,.000,3.4,17.1,10.2,8.0,0.0,2.7,37.5,10.6,,-0.1,0.0,-0.1,-0.084,,-8.6,0.5,-8.2,0.0
95,Chris Chiozza\chiozch01,PG,24,TOT,15,150,9.8,.386,.500,.000,0.7,13.3,6.8,29.9,3.7,1.1,18.5,14.9,,-0.1,0.2,0.0,.008,,-3.8,-0.3,-4.1,-0.1
95,Chris Chiozza\chiozch01,PG,24,WAS,10,123,9.2,.397,.471,.000,0.0,13.7,6.6,28.5,3.8,1.4,20.9,14.5,,-0.1,0.1,0.0,-0.003,,-4.2,-0.2,-4.5,-0.1
95,Chris Chiozza\chiozch01,PG,24,BRK,5,27,12.9,.350,.600,.000,3.9,11.1,7.6,36.4,3.5,0.0,9.1,17.0,,0.0,0.0,0.0,.061,,-2.0,-0.3,-2.3,0.0
